5, 19, 21, 2, 7, 13, 9, 11, 16, 12, 3, 1, 15, 20, 14, 17, 10, 4, 8, 18, 6
13, 9, 15, 12, 5, 19, 21, 17, 3, 20, 10, 16, 11, 2, 7, 1, 14, 4, 8, 18, 6
12, 10, 16, 17, 3, 20, 7, 2, 21, 19, 5, 13, 15, 9, 11, 1, 14, 4, 8, 18, 6
15, 16, 17, 5, 8, 7, 2, 21, 19, 3, 9, 11, 13, 12, 10, 1, 4, 20, 14, 18, 6
13, 9, 15, 12, 5, 19, 21, 17, 3, 20, 10, 16, 11, 7, 2, 1, 14, 4, 8, 18, 6
9, 11, 2, 12, 7, 15, 1, 14, 16, 20, 3, 17, 21, 19, 5, 10, 13, 4, 8, 18, 6
14, 20, 3, 1, 15, 12, 10, 9, 13, 2, 7, 21, 19, 5, 17, 11, 16, 4, 8, 18, 6
14, 20, 3, 1, 15, 12, 10, 9, 13, 7, 2, 21, 19, 5, 17, 11, 16, 4, 8, 18, 6
13, 7, 2, 21, 19, 3, 9, 11, 8, 5, 17, 16, 15, 12, 10, 1, 4, 20, 14, 18, 6
14, 20, 15, 1, 3, 12, 10, 9, 13, 2, 7, 21, 19, 5, 17, 11, 16, 4, 8, 18, 6
5, 19, 21, 7, 2, 13, 9, 11, 16, 12, 15, 1, 3, 20, 14, 17, 10, 4, 8, 18, 6
9, 13, 15, 1, 14, 19, 21, 7, 2, 11, 16, 10, 20, 3, 17, 12, 5, 4, 8, 18, 6
13, 9, 10, 21, 19, 5, 12, 3, 1, 15, 20, 14, 17, 16, 11, 7, 2, 4, 8, 18, 6
13, 11, 9, 3, 19, 21, 15, 16, 17, 5, 8, 2, 7, 12, 10, 1, 4, 20, 14, 18, 6
16, 14, 1, 15, 7, 9, 20, 3, 17, 21, 19, 2, 11, 12, 10, 5, 13, 4, 8, 18, 6
3, 20, 14, 1, 15, 12, 10, 9, 13, 5, 19, 21, 2, 7, 17, 11, 16, 4, 8, 18, 6
10, 12, 20, 14, 13, 8, 19, 21, 11, 2, 15, 16, 9, 7, 3, 1, 4, 17, 5, 18, 6
16, 14, 1, 15, 7, 12, 11, 2, 9, 20, 3, 17, 21, 19, 5, 10, 13, 4, 8, 18, 6
5, 11, 16, 13, 9, 19, 21, 7, 2, 12, 3, 1, 15, 20, 14, 17, 10, 4, 8, 18, 6
2, 7, 21, 19, 5, 13, 9, 11, 16, 12, 3, 1, 15, 20, 14, 17, 10, 4, 8, 18, 6
9, 13, 16, 11, 2, 7, 21, 19, 5, 12, 3, 1, 15, 20, 14, 17, 10, 4, 8, 18, 6
2, 13, 17, 3, 20, 5, 19, 21, 7, 16, 10, 12, 15, 9, 11, 1, 14, 4, 8, 18, 6
9, 11, 19, 21, 2, 7, 13, 12, 10, 3, 8, 5, 17, 4, 1, 15, 16, 20, 14, 18, 6
7, 21, 19, 11, 9, 3, 13, 2, 8, 5, 17, 16, 15, 12, 10, 1, 4, 20, 14, 18, 6
10, 12, 13, 3, 9, 11, 19, 21, 2, 7, 8, 5, 17, 4, 1, 15, 16, 20, 14, 18, 6
5, 19, 21, 17, 9, 10, 12, 2, 11, 20, 3, 7, 15, 1, 14, 16, 13, 4, 8, 18, 6
3, 10, 15, 11, 14, 16, 8, 5, 9, 19, 21, 2, 12, 20, 7, 1, 4, 17, 13, 18, 6
16, 14, 1, 15, 7, 3, 20, 2, 11, 12, 10, 5, 19, 21, 17, 9, 13, 4, 8, 18, 6
19, 21, 2, 11, 7, 5, 17, 13, 8, 4, 10, 15, 1, 16, 20, 12, 9, 14, 3, 18, 6
5, 12, 15, 13, 9, 19, 21, 2, 7, 11, 16, 10, 20, 3, 17, 1, 14, 4, 8, 18, 6
12, 10, 16, 17, 3, 20, 5, 19, 21, 7, 13, 2, 15, 9, 11, 1, 14, 4, 8, 18, 6
9, 13, 15, 12, 2, 7, 21, 19, 5, 11, 16, 10, 20, 3, 17, 1, 14, 4, 8, 18, 6
3, 20, 14, 1, 15, 12, 10, 9, 13, 5, 19, 21, 7, 2, 17, 11, 16, 4, 8, 18, 6
16, 14, 1, 15, 7, 3, 20, 5, 10, 12, 2, 11, 19, 21, 17, 9, 13, 4, 8, 18, 6
7, 13, 14, 20, 12, 10, 8, 11, 3, 9, 16, 15, 1, 4, 17, 5, 2, 21, 19, 18, 6
2, 13, 7, 21, 19, 5, 12, 15, 1, 3, 20, 14, 17, 9, 11, 16, 10, 4, 8, 18, 6
9, 10, 12, 11, 16, 17, 15, 1, 3, 13, 2, 7, 21, 19, 5, 20, 14, 4, 8, 18, 6
2, 5, 21, 19, 14, 10, 11, 1, 15, 8, 16, 7, 17, 4, 20, 9, 12, 3, 13, 18, 6
13, 3, 9, 11, 19, 21, 15, 16, 17, 5, 8, 2, 7, 12, 10, 1, 4, 20, 14, 18, 6
15, 16, 17, 5, 8, 11, 10, 12, 13, 7, 2, 21, 19, 3, 9, 1, 4, 20, 14, 18, 6
9, 13, 15, 12, 5, 19, 21, 7, 2, 11, 16, 10, 20, 3, 17, 1, 14, 4, 8, 18, 6
